Geo_code,Geo_name,Indicator_wall_insulation,Indicator_wall_insulation_deciles,Indicator_roof_insulation,Indicator_roof_insulation_deciles,Indicator_floor_insulation,Indicator_floor_insulation_deciles,Indicator_property_type,Indicator_property_type_deciles,Indicator_property_age,Indicator_property_age_deciles,Indicator_age_population,Indicator_age_population_deciles,Indicator_health_conditions,Indicator_health_conditions_deciles,Indicator_fuel_poverty,Indicator_fuel_poverty_deciles,Country,Country_denominator,Geo_type,Combined,Combined_deciles,Insulation_supply,Insulation_supply_deciles
E14001063,Aldershot,216,4,338,7,152,3,142,3,84,2,167,4,159,3,24,1,England,543,Westminster Constituency,48,1,345,4
E14001064,Aldridge-Brownhills,262,5,309,6,499,10,341,7,180,4,419,8,421,8,393,8,England,543,Westminster Constituency,405,8,151,8
E14001065,Altrincham and Sale West,374,7,418,8,363,7,206,4,361,7,277,6,239,5,128,3,England,543,Westminster Constituency,203,4,130,8
E14001066,Amber Valley,339,7,254,5,465,9,508,10,383,8,388,8,467,9,453,9,England,543,Westminster Constituency,482,9,342,4
E14001067,Arundel and South Downs,288,6,259,5,359,7,389,8,268,5,528,10,279,6,212,4,England,543,Westminster Constituency,394,8,251,6
E14001068,Ashfield,206,4,281,6,472,9,487,9,334,7,321,6,387,8,444,9,England,543,Westminster Constituency,417,8,338,4
E14001069,Ashford,47,1,28,1,118,3,282,6,14,1,188,4,144,3,98,2,England,543,Westminster Constituency,23,1,519,1
E14001070,Ashton-under-Lyne,232,5,464,9,467,9,272,5,432,8,164,3,339,7,381,7,England,543,Westminster Constituency,346,7,187,7
E14001071,Aylesbury,23,1,92,2,142,3,248,5,17,1,141,3,168,4,46,1,England,543,Westminster Constituency,12,1,293,5
E14001072,Banbury,91,2,140,3,131,3,316,6,112,3,286,6,193,4,139,3,England,543,Westminster Constituency,71,2,444,2
E14001073,Barking,450,9,427,8,78,2,83,2,299,6,10,1,34,1,339,7,England,543,Westminster Constituency,125,3,138,8
E14001074,Barnsley North,114,3,322,6,331,7,474,9,278,6,267,5,478,9,464,9,England,543,Westminster Constituency,409,8,254,6
E14001075,Barnsley South,264,5,398,8,428,8,504,10,436,9,253,5,507,10,492,10,England,543,Westminster Constituency,510,10,297,5
E14001076,Barrow and Furness,444,9,527,10,539,10,439,9,509,10,423,8,488,9,434,8,England,543,Westminster Constituency,540,10,508,1
E14001077,Basildon and Billericay,118,3,450,9,375,7,238,5,34,1,175,4,201,4,39,1,England,543,Westminster Constituency,96,2,253,6
E14001078,Basingstoke,12,1,26,1,137,3,184,4,8,1,144,3,136,3,8,1,England,543,Westminster Constituency,4,1,468,2
E14001079,Bassetlaw,98,2,152,3,400,8,479,9,190,4,368,7,408,8,419,8,England,543,Westminster Constituency,351,7,388,3
E14001080,Bath,467,9,235,5,97,2,103,2,517,10,194,4,116,3,384,8,England,543,Westminster Constituency,252,5,461,2
E14001081,Battersea,478,9,360,7,12,1,13,1,465,9,21,1,2,1,20,1,England,543,Westminster Constituency,94,2,32,10
E14001082,Beaconsfield,321,6,303,6,305,6,201,4,198,4,379,7,174,4,27,1,England,543,Westminster Constituency,126,3,71,9
E14001083,Beckenham and Penge,500,10,417,8,49,1,43,1,451,9,151,3,63,2,111,3,England,543,Westminster Constituency,156,3,45,10
E14001084,Bedford,312,6,161,3,199,4,124,3,258,5,157,3,223,5,216,4,England,543,Westminster Constituency,86,2,395,3
E14001085,Bermondsey and Old Southwark,217,4,39,1,4,1,6,1,16,1,7,1,18,1,9,1,England,543,Westminster Constituency,2,1,18,10
E14001086,Bethnal Green and Stepney,388,8,221,5,3,1,4,1,158,3,4,1,13,1,136,3,England,543,Westminster Constituency,21,1,84,9
E14001087,Beverley and Holderness,153,3,194,4,493,10,498,10,113,3,508,10,436,9,391,8,England,543,Westminster Constituency,466,9,469,2
E14001088,Bexhill and Battle,343,7,242,5,268,5,186,4,355,7,539,10,509,10,306,6,England,543,Westminster Constituency,498,10,449,2
E14001089,Bexleyheath and Crayford,483,9,397,8,358,7,154,3,396,8,189,4,130,3,97,2,England,543,Westminster Constituency,192,4,70,9
E14001090,Bicester and Woodstock,36,1,58,2,195,4,451,9,35,1,256,5,178,4,29,1,England,543,Westminster Constituency,64,2,423,3
E14001091,Birkenhead,463,9,367,7,344,7,182,4,471,9,250,5,466,9,476,9,England,543,Westminster Constituency,452,9,175,7
E14001092,Birmingham Edgbaston,464,9,473,9,207,4,109,2,421,8,125,3,104,2,522,10,England,543,Westminster Constituency,396,8,174,7
E14001093,Birmingham Erdington,480,9,436,9,407,8,188,4,407,8,105,2,218,4,526,10,England,543,Westminster Constituency,442,9,152,8
E14001094,Birmingham Hall Green and Moseley,533,10,542,10,439,9,178,4,531,10,62,2,102,2,542,10,England,543,Westminster Constituency,532,10,186,7
E14001095,Birmingham Hodge Hill and Solihull North,449,9,476,9,492,10,262,5,372,7,70,2,182,4,535,10,England,543,Westminster Constituency,467,9,156,8
E14001096,Birmingham Ladywood,179,4,225,5,22,1,32,1,38,1,3,1,24,1,541,10,England,543,Westminster Constituency,216,4,219,6
E14001097,Birmingham Northfield,360,7,283,6,281,6,209,4,203,4,181,4,293,6,489,9,England,543,Westminster Constituency,266,5,188,7
E14001098,Birmingham Perry Barr,524,10,540,10,506,10,234,5,526,10,45,1,68,2,543,10,England,543,Westminster Constituency,534,10,190,7
E14001099,Birmingham Selly Oak,505,10,494,10,450,9,218,4,481,9,100,2,194,4,534,10,England,543,Westminster Constituency,502,10,168,7
E14001100,Birmingham Yardley,538,10,537,10,514,10,236,5,513,10,68,2,173,4,538,10,England,543,Westminster Constituency,533,10,144,8
E14001101,Bishop Auckland,344,7,378,7,527,10,531,10,468,9,456,9,541,10,316,6,England,543,Westminster Constituency,541,10,349,4
E14001102,Blackburn,319,6,534,10,510,10,366,7,464,9,89,2,301,6,479,9,England,543,Westminster Constituency,476,9,176,7
E14001103,Blackley and Middleton South,276,6,468,9,389,8,211,4,397,8,94,2,289,6,438,9,England,543,Westminster Constituency,308,6,180,7
E14001104,Blackpool North and Fleetwood,291,6,404,8,522,10,287,6,371,7,495,10,542,10,348,7,England,543,Westminster Constituency,529,10,359,4
E14001105,Blackpool South,419,8,531,10,361,7,137,3,529,10,261,5,530,10,521,10,England,543,Westminster Constituency,536,10,344,4
E14001106,Blaydon and Consett,230,5,274,6,477,9,533,10,388,8,377,7,494,10,161,3,England,543,Westminster Constituency,458,9,295,5
E14001107,Blyth and Ashington,40,1,197,4,385,8,360,7,339,7,352,7,536,10,193,4,England,543,Westminster Constituency,408,8,333,4
